# AFTER state (post-restore, pre-commit)
captured_utc: 2026-08-08T09:29:43Z

## helix_qa git status --porcelain
M  tools/opensource/signoz
M  tools/opensource/skyvern
count=2   (was 9 before)

## staged (awaiting commit)
tools/opensource/signoz
tools/opensource/skyvern

## every one of the 9: recorded(HEAD) vs worktree vs staged-index
TOOL               HEAD           INDEX          WORKTREE       STATE
allure2            db2dbd8166fc   db2dbd8166fc   db2dbd8166fc   clean(index==worktree)
appium             0e4ecc49d6ae   0e4ecc49d6ae   0e4ecc49d6ae   clean(index==worktree)
browser-use        c8e6e8f0fe61   c8e6e8f0fe61   c8e6e8f0fe61   clean(index==worktree)
docker-android     28478f3bce03   28478f3bce03   28478f3bce03   clean(index==worktree)
midscene           4d37b88b2fe7   4d37b88b2fe7   4d37b88b2fe7   clean(index==worktree)
signoz             5c2071131079   ef9b8eec8a2b   ef9b8eec8a2b   clean(index==worktree)
skyvern            6e4cebc4c491   085c7187120f   085c7187120f   clean(index==worktree)
stagehand          7224376585d6   7224376585d6   7224376585d6   clean(index==worktree)
ui-tars-desktop    e9f3387288da   e9f3387288da   e9f3387288da   clean(index==worktree)
