63	high	npm	@modelcontextprotocol/sdk	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-345p-7cg4-v4c7
69	high	npm	minimatch	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-3ppc-4f35-3m26
70	high	npm	rollup	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-mw96-cpmx-2vgc
71	high	npm	minimatch	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-23c5-xmqv-rm74
72	high	npm	minimatch	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-7r86-cg39-jmmj
73	high	npm	underscore	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-qpx9-hpmf-5gmw
74	high	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-q5qw-h33p-qvwr
79	high	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-f269-vfmq-vjvj
81	high	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-v9p9-hfj2-hcw8
82	high	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-vrm6-8vpv-qv8q
84	high	npm	picomatch	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-c2c7-rcm5-vvqj
85	high	npm	picomatch	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-c2c7-rcm5-vvqj
89	high	npm	path-to-regexp	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-j3q9-mxjg-w52f
92	high	npm	lodash	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-r5fr-rjxr-66jc
93	high	npm	defu	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-737v-mqg7-c878
94	high	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-p9ff-h696-f583
162	low	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-hm8q-7f3q-5f36
183	low	npm	@ai-sdk/provider-utils	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-866g-f22w-33x8
207	low	npm	@babel/core	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-4x5r-pxfx-6jf8
216	low	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-35p6-xmwp-9g52
219	low	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-g8m3-5g58-fq7m
22	low	npm	brace-expansion	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-v6h2-p8h4-qcjw
233	low	npm	body-parser	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-v422-hmwv-36x6
25	low	npm	tmp	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-52f5-9888-hmc6
26	low	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-jqfw-vq24-v9c3
27	low	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-jqfw-vq24-v9c3
28	low	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-g4jq-h2w9-997c
29	low	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-g4jq-h2w9-997c
37	low	npm	ai	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-rwvc-j5jr-mgvh
64	low	npm	qs	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-w7fw-mjwx-w883
68	low	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-gq3j-xvxp-8hrf
100	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-r5rp-j6wh-rvv4
120	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-458j-xx4x-4375
158	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-69xw-7hcm-h432
159	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-9vqf-7f2p-gf9v
161	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-p77w-8qqv-26rm
163	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-qp7p-654g-cw7p
166	medium	npm	postcss	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-qx2v-qp2m-jg93
176	medium	npm	ws	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-58qx-3vcg-4xpx
17	medium	npm	esbuild	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-67mh-4wv8-2f99
181	medium	npm	qs	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-q8mj-m7cp-5q26
187	medium	npm	react-router	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-f22v-gfqf-p8f3
18	medium	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-859w-5945-r5v3
191	medium	npm	react-router	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-2j2x-hqr9-3h42
195	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-f577-qrjj-4474
197	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-3hrh-pfw6-9m5x
198	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-xrhx-7g5j-rcj5
199	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-2gcr-mfcq-wcc3
19	medium	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-859w-5945-r5v3
205	medium	npm	markdown-it	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-6v5v-wf23-fmfq
209	medium	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-v6wh-96g9-6wx3
20	medium	npm	@cloudflare/workers-oauth-provider	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-4pc9-x2fx-p7vj
211	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-j6c9-x7qj-28xf
212	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-wwfh-h76j-fc44
214	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-wgpf-jwqj-8h8p
215	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-rv63-4mwf-qqc2
218	medium	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-p88m-4jfj-68fv
21	medium	npm	@cloudflare/workers-oauth-provider	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-qgp8-v765-qxx9
234	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-xgm2-5f3f-mvvc
235	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-w62v-xxxg-mg59
23	medium	npm	@cloudflare/vite-plugin	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-4pfg-2mw5-f8jx
246	medium	npm	valibot	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-5qjj-4xww-7phc
248	medium	npm	react-router	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-337j-9hxr-rhxg
249	medium	npm	react-router	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-wrjc-x8rr-h8h6
263	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-8j4g-w8fx-2239
265	medium	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-m8rv-5g2x-5cg5
266	medium	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-8xcm-r25x-g524
267	medium	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-v3r7-h72x-cjcm
30	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-92vj-g62v-jqhh
31	medium	npm	jsondiffpatch	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-33vc-wfww-vjfv
33	medium	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-93m4-6634-74q7
34	medium	npm	vite	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-93m4-6634-74q7
36	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-q7jf-gf43-6x6p
39	medium	npm	body-parser	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-wqch-xfxh-vrr4
41	medium	npm	mdast-util-to-hast	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-4fh9-h7wg-q85m
43	medium	npm	qs	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-6rw7-vpxm-498p
47	medium	npm	react-router	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-9jcx-v3wj-wh4m
51	medium	npm	react-router	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-h5cw-625j-3rxh
52	medium	npm	@remix-run/server-runtime	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-h5cw-625j-3rxh
55	medium	npm	undici	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-g9mf-h72j-4rw9
57	medium	npm	lodash	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-xxjr-mmjv-4gpg
58	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-r354-f388-2fhh
59	medium	npm	hono	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-6wqw-2p9w-4vw4
