result	case_id	assertion	expected	observed	evidence
PASS	live_ws_route_gated	status == 401	401	401	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/live_ws_route_gated.http
PASS	live_ws_route_gated	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/live_ws_route_gated.http
PASS	live_ws_route_gated	body excludes 'page not found'	absent	absent	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/live_ws_route_gated.http
PASS	live_ws_unregistered_control	status == 404	404	404	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/live_ws_unregistered_control.http
PASS	live_ws_unregistered_control	body contains 'page not found'	page not found	present	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/live_ws_unregistered_control.http
PASS	eph_tools_list_functional	single tools/list call returns a well-formed, correlated response	ok=true	ok=true	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/eph_tools_list_functional.http
PASS	eph_concurrent_all_ok	every concurrent call returns a well-formed, correlated tools/list response	0 errors	0 errors / 32 calls	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/eph_concurrent_all_ok.http
PASS	eph_concurrent_faster_than_sequential	concurrent_wall_clock_ms < sequential_wall_clock_ms	concurrent < 34.088383999915095ms	23.63165800124989ms	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/eph_concurrent_faster_than_sequential.http
PASS	eph_concurrent_latency_bound	concurrent p95 latency <= 3x sequential max (floor 50ms)	<= 150.000ms	0.7601690012961626ms	docs/qa/perf_mcptoolmux_c9bad26a_20260728T120811Z/transcripts/eph_concurrent_latency_bound.http
