result	case_id	assertion	expected	observed	evidence
PASS	eph_azure_whitespace_endpoint	status != 401	not 401	503	docs/qa/feat_azureguard_eb233785_20260728T104111Z/transcripts/eph_azure_whitespace_endpoint.http
PASS	eph_azure_whitespace_endpoint	status == 503	503	503	docs/qa/feat_azureguard_eb233785_20260728T104111Z/transcripts/eph_azure_whitespace_endpoint.http
PASS	eph_azure_whitespace_endpoint	body contains 'azure endpoint is required'	azure endpoint is required	present	docs/qa/feat_azureguard_eb233785_20260728T104111Z/transcripts/eph_azure_whitespace_endpoint.http
PASS	eph_azure_whitespace_endpoint	body excludes '"choices"'	absent	absent	docs/qa/feat_azureguard_eb233785_20260728T104111Z/transcripts/eph_azure_whitespace_endpoint.http
PASS	eph_azure_whitespace_endpoint	body excludes '"completion_tokens"'	absent	absent	docs/qa/feat_azureguard_eb233785_20260728T104111Z/transcripts/eph_azure_whitespace_endpoint.http
PASS	eph_alive_after_bad_endpoint	status == 200	200	200	docs/qa/feat_azureguard_eb233785_20260728T104111Z/transcripts/eph_alive_after_bad_endpoint.http
