result	case_id	assertion	expected	observed	evidence
PASS	cerebras_models	status == 200	200	200	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_models.http
PASS	cerebras_models	body contains '"object":"list"'	"object":"list"	present	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_models.http
PASS	cerebras_models	body contains '"gemma-4-31b"'	"gemma-4-31b"	present	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_models.http
PASS	cerebras_models	body contains '"gpt-oss-120b"'	"gpt-oss-120b"	present	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_models.http
PASS	cerebras_models	body contains '"zai-glm-4.7"'	"zai-glm-4.7"	present	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_models.http
PASS	cerebras_completion_gemma-4-31b	status == 200	200	200	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_completion_gemma-4-31b.http
PASS	cerebras_completion_gemma-4-31b	body contains 'qanonce-cb-3262e7c90eb8'	qanonce-cb-3262e7c90eb8	present	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_completion_gemma-4-31b.http
PASS	cerebras_completion_gemma-4-31b	body contains '"model":"gemma-4-31b"'	"model":"gemma-4-31b"	present	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_completion_gemma-4-31b.http
PASS	cerebras_completion_gemma-4-31b	body contains '"finish_reason"'	"finish_reason"	present	docs/qa/feat_cerebras_models_f8c38181_20260728T120731Z/transcripts/cerebras_completion_gemma-4-31b.http
