submodules/helix_agent/MCP/submodules/cloudflare-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 64 ref(s)	refs/heads/chore/upgrade-workers-oauth-provider-0.9.0,refs/heads/main,refs/heads/refactor/delegate-api-token-auth-to-provider,refs/tags/@repo/eval-tools@0.32.6	14	0
submodules/helix_agent/MCP/submodules/context7-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 20 ref(s)	refs/heads/chore/dependabot-batch-2026-08,refs/heads/ctx7-1764-lazy-auth,refs/heads/ctx7-1846-helm-manifests,refs/heads/ctx7-1879-skill-content-update-cli	24	0
submodules/helix_agent/MCP/submodules/ever-works-awesome-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/master	1	0
submodules/helix_agent/MCP/submodules/firecrawl-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 28 ref(s)	refs/heads/agent/cache-provenance-phase1-20260714,refs/heads/chore/developer-ga,refs/heads/david/okay-we-need-to-update-an-api,refs/heads/exchange	55	0
submodules/helix_agent/MCP/submodules/github-mcp-server	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 23 ref(s)	refs/heads/dependabot/docker/distroless/base-debian12-62730825d3cf03571e0a1b8f014748de94d0404500f063593b614c23da38841d,refs/heads/dependabot/docker/node-2337615,refs/heads/dependabot/github_actions/actions/stale-11,refs/heads/dependabot/github_actions/docker/login-action-4.6.0	53	0
submodules/helix_agent/MCP/submodules/inspector	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 10 ref(s)	refs/heads/dependabot/npm_and_yarn/npm_and_yarn-bcad9a3afe,refs/heads/main,refs/heads/v1/main,refs/tags/1.0.0	558	0
submodules/helix_agent/MCP/submodules/kubernetes-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 6 ref(s)	refs/heads/chore/update-eval-results,refs/heads/dependabot/go_modules/opentelemetry-c1e433a486,refs/heads/main,refs/tags/v0.0.64	56	0
submodules/helix_agent/MCP/submodules/langchain-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 8 ref(s)	refs/heads/dependabot/github_actions/minor-and-patch-961dacd354,refs/heads/dependabot/uv/examples/servers/streamable-http-stateless/major-cc6c16f905,refs/heads/dependabot/uv/examples/servers/streamable-http-stateless/minor-and-patch-bb5a25fd6d,refs/heads/dependabot/uv/major-cc6c16f905	20	0
submodules/helix_agent/MCP/submodules/llamaindex-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 16 ref(s)	refs/heads/claude/mcp-llamaindex-ai-yu8teu,refs/heads/clelia/add-lit-to-mcp,refs/heads/clelia/attempt-fixing-liteparse-native-dep,refs/heads/clelia/lit-failure-investigation	43	0
submodules/helix_agent/MCP/submodules/mongodb-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 44 ref(s)	refs/heads/CLOUDP-407394-atlas-scale-cluster,refs/heads/CLOUDP-407394-scale-in-upgrade-cluster,refs/heads/CLOUDP-424118,refs/heads/CLOUDP-424118-v3	54	0
